"date","bread_hits","state"
2020-04-12,95,"West Virginia"
2020-04-13,42,"West Virginia"
2020-04-14,47,"West Virginia"
2020-04-15,52,"West Virginia"
2020-04-16,60,"West Virginia"
2020-04-17,58,"West Virginia"
2020-04-18,74,"West Virginia"
2020-04-19,65,"West Virginia"
2020-04-20,53,"West Virginia"
2020-04-21,53,"West Virginia"
2020-04-22,61,"West Virginia"
2020-04-23,78,"West Virginia"
2020-04-24,41,"West Virginia"
2020-04-25,55,"West Virginia"
2020-04-26,62,"West Virginia"
2020-04-27,40,"West Virginia"
2020-04-28,52,"West Virginia"
2020-04-29,60,"West Virginia"
2020-04-30,66,"West Virginia"
2020-05-01,64,"West Virginia"
2020-05-02,46,"West Virginia"
2020-05-03,48,"West Virginia"
2020-05-04,43,"West Virginia"
2020-05-05,50,"West Virginia"
2020-05-06,46,"West Virginia"
2020-05-07,35,"West Virginia"
2020-05-08,49,"West Virginia"
2020-05-09,74,"West Virginia"
2020-05-10,58,"West Virginia"
2020-05-11,46,"West Virginia"
2020-05-12,42,"West Virginia"
2020-05-13,63,"West Virginia"
2020-05-14,38,"West Virginia"
2020-05-15,61,"West Virginia"
2020-05-16,46,"West Virginia"
2020-02-18,33,"Washington"
2020-02-19,31,"Washington"
2020-02-20,30,"Washington"
2020-02-21,25,"Washington"
2020-02-22,48,"Washington"
2020-02-23,40,"Washington"
2020-02-24,28,"Washington"
2020-02-25,30,"Washington"
2020-02-26,28,"Washington"
2020-02-27,32,"Washington"
2020-02-28,29,"Washington"
2020-02-29,34,"Washington"
2020-03-01,43,"Washington"
2020-03-02,33,"Washington"
2020-03-03,33,"Washington"
2020-03-04,32,"Washington"
2020-03-05,25,"Washington"
2020-03-06,31,"Washington"
2020-03-07,33,"Washington"
2020-03-08,46,"Washington"
2020-03-09,30,"Washington"
2020-03-10,27,"Washington"
2020-03-11,30,"Washington"
2020-03-12,30,"Washington"
2020-03-13,27,"Washington"
2020-03-14,55,"Washington"
2020-03-15,60,"Washington"
2020-03-16,44,"Washington"
2020-03-17,64,"Washington"
2020-03-18,53,"Washington"
2020-03-19,49,"Washington"
2020-03-20,47,"Washington"
2020-03-21,66,"Washington"
2020-03-22,79,"Washington"
2020-03-23,63,"Washington"
2020-03-24,57,"Washington"
2020-03-25,62,"Washington"
2020-03-26,70,"Washington"
2020-03-27,61,"Washington"
2020-03-28,93,"Washington"
2020-03-29,100,"Washington"
2020-03-30,63,"Washington"
2020-03-31,65,"Washington"
2020-04-01,56,"Washington"
2020-04-02,71,"Washington"
2020-04-03,63,"Washington"
2020-04-04,89,"Washington"
2020-04-05,100,"Washington"
2020-04-06,70,"Washington"
2020-04-07,68,"Washington"
2020-04-08,65,"Washington"
2020-04-09,59,"Washington"
2020-04-10,67,"Washington"
2020-04-11,82,"Washington"
2020-04-12,95,"Washington"
2020-04-13,54,"Washington"
2020-04-14,61,"Washington"
2020-04-15,51,"Washington"
2020-04-16,54,"Washington"
2020-04-17,55,"Washington"
2020-04-18,80,"Washington"
2020-04-19,78,"Washington"
2020-04-20,59,"Washington"
2020-04-21,56,"Washington"
2020-04-22,58,"Washington"
2020-04-23,46,"Washington"
2020-04-24,60,"Washington"
2020-04-25,73,"Washington"
2020-04-26,78,"Washington"
2020-04-27,61,"Washington"
2020-04-28,50,"Washington"
2020-04-29,51,"Washington"
2020-04-30,59,"Washington"
2020-05-01,56,"Washington"
2020-05-02,74,"Washington"
2020-05-03,72,"Washington"
2020-05-04,56,"Washington"
2020-05-05,48,"Washington"
2020-05-06,46,"Washington"
2020-05-07,46,"Washington"
2020-05-08,46,"Washington"
2020-05-09,53,"Washington"
2020-05-10,56,"Washington"
2020-05-11,42,"Washington"
2020-05-12,49,"Washington"
2020-05-13,51,"Washington"
2020-05-14,49,"Washington"
2020-05-15,44,"Washington"
2020-05-16,57,"Washington"
2020-02-18,31,"Virginia"
2020-02-19,43,"Virginia"
2020-02-20,40,"Virginia"
2020-02-21,31,"Virginia"
2020-02-22,43,"Virginia"
2020-02-23,51,"Virginia"
2020-02-24,37,"Virginia"
2020-02-25,31,"Virginia"
2020-02-26,41,"Virginia"
2020-02-27,27,"Virginia"
2020-02-28,39,"Virginia"
2020-02-29,32,"Virginia"
2020-03-01,55,"Virginia"
2020-03-02,35,"Virginia"
2020-03-03,32,"Virginia"
2020-03-04,32,"Virginia"
2020-03-05,33,"Virginia"
2020-03-06,38,"Virginia"
2020-03-07,42,"Virginia"
2020-03-08,40,"Virginia"
2020-03-09,36,"Virginia"
2020-03-10,27,"Virginia"
2020-03-11,36,"Virginia"
2020-03-12,35,"Virginia"
2020-03-13,28,"Virginia"
2020-03-14,53,"Virginia"
2020-03-15,68,"Virginia"
2020-03-16,48,"Virginia"
2020-03-17,58,"Virginia"
2020-03-18,53,"Virginia"
2020-03-19,54,"Virginia"
2020-03-20,45,"Virginia"
2020-03-21,70,"Virginia"
2020-03-22,79,"Virginia"
2020-03-23,65,"Virginia"
2020-03-24,58,"Virginia"
