"date","coronavirus_hits","state"
2020-04-14,46,"West Virginia"
2020-04-15,43,"West Virginia"
2020-04-16,40,"West Virginia"
2020-04-17,42,"West Virginia"
2020-04-18,41,"West Virginia"
2020-04-19,32,"West Virginia"
2020-04-20,36,"West Virginia"
2020-04-21,38,"West Virginia"
2020-04-22,26,"West Virginia"
2020-04-23,33,"West Virginia"
2020-04-24,35,"West Virginia"
2020-04-25,23,"West Virginia"
2020-04-26,20,"West Virginia"
2020-04-27,20,"West Virginia"
2020-04-28,19,"West Virginia"
2020-04-29,20,"West Virginia"
2020-04-30,17,"West Virginia"
2020-05-01,19,"West Virginia"
2020-05-02,16,"West Virginia"
2020-05-03,19,"West Virginia"
2020-05-04,17,"West Virginia"
2020-05-05,17,"West Virginia"
2020-05-06,18,"West Virginia"
2020-05-07,17,"West Virginia"
2020-05-08,15,"West Virginia"
2020-05-09,13,"West Virginia"
2020-05-10,19,"West Virginia"
2020-05-11,17,"West Virginia"
2020-05-12,14,"West Virginia"
2020-05-13,14,"West Virginia"
2020-05-14,15,"West Virginia"
2020-05-15,13,"West Virginia"
2020-05-16,14,"West Virginia"
2020-02-18,6,"Washington"
2020-02-19,5,"Washington"
2020-02-20,6,"Washington"
2020-02-21,6,"Washington"
2020-02-22,6,"Washington"
2020-02-23,7,"Washington"
2020-02-24,9,"Washington"
2020-02-25,14,"Washington"
2020-02-26,19,"Washington"
2020-02-27,24,"Washington"
2020-02-28,24,"Washington"
2020-02-29,50,"Washington"
2020-03-01,48,"Washington"
2020-03-02,67,"Washington"
2020-03-03,62,"Washington"
2020-03-04,55,"Washington"
2020-03-05,55,"Washington"
2020-03-06,52,"Washington"
2020-03-07,52,"Washington"
2020-03-08,43,"Washington"
2020-03-09,47,"Washington"
2020-03-10,48,"Washington"
2020-03-11,58,"Washington"
2020-03-12,91,"Washington"
2020-03-13,89,"Washington"
2020-03-14,83,"Washington"
2020-03-15,100,"Washington"
2020-03-16,97,"Washington"
2020-03-17,87,"Washington"
2020-03-18,82,"Washington"
2020-03-19,77,"Washington"
2020-03-20,77,"Washington"
2020-03-21,76,"Washington"
2020-03-22,78,"Washington"
2020-03-23,77,"Washington"
2020-03-24,67,"Washington"
2020-03-25,56,"Washington"
2020-03-26,60,"Washington"
2020-03-27,59,"Washington"
2020-03-28,55,"Washington"
2020-03-29,57,"Washington"
2020-03-30,53,"Washington"
2020-03-31,49,"Washington"
2020-04-01,48,"Washington"
2020-04-02,47,"Washington"
2020-04-03,55,"Washington"
2020-04-04,60,"Washington"
2020-04-05,61,"Washington"
2020-04-06,60,"Washington"
2020-04-07,58,"Washington"
2020-04-08,52,"Washington"
2020-04-09,50,"Washington"
2020-04-10,50,"Washington"
2020-04-11,39,"Washington"
2020-04-12,30,"Washington"
2020-04-13,42,"Washington"
2020-04-14,44,"Washington"
2020-04-15,42,"Washington"
2020-04-16,39,"Washington"
2020-04-17,41,"Washington"
2020-04-18,43,"Washington"
2020-04-19,30,"Washington"
2020-04-20,34,"Washington"
2020-04-21,36,"Washington"
2020-04-22,28,"Washington"
2020-04-23,33,"Washington"
2020-04-24,35,"Washington"
2020-04-25,25,"Washington"
2020-04-26,20,"Washington"
2020-04-27,21,"Washington"
2020-04-28,19,"Washington"
2020-04-29,19,"Washington"
2020-04-30,18,"Washington"
2020-05-01,19,"Washington"
2020-05-02,18,"Washington"
